@id,@lon,@lat,name,tourism
8953451388,21.2528951,40.9883637,,
8953451429,21.2566960,40.9813940,,
8953451534,21.2492755,40.9692762,,
8953451615,21.2045124,40.9540859,,
8953451616,21.2037520,40.9561584,,
8953451617,21.2066851,40.9590823,,
8953451618,21.2064427,40.9571857,,
8953451619,21.2133432,40.9553482,,
8953451654,21.2065606,40.9580020,,
9126852780,20.5721106,41.6234937,,
9126852781,20.5542961,41.6353590,,
9126853481,20.5382261,41.6348444,,
1000000195775592,20.8153983,41.4773482,Треска,
1000000228209293,20.5846585,41.2394346,Вевчански Извори,attraction
