@id,@lon,@lat,name
185751636,21.7614861,41.7760619,
282733281,21.1179728,40.8526260,
303243942,22.5454518,41.4239535,
303243943,22.5491346,41.4220645,
303243944,22.5508980,41.4209031,
303243945,22.5531437,41.4220664,
303243946,22.5541152,41.4198175,
303243947,22.5554459,41.4194172,
303243949,22.5562030,41.4215567,
303243950,22.5572683,41.4193374,
303243951,22.5586792,41.4202432,
303243952,22.5594028,41.4203933,
303243953,22.5597113,41.4226144,
303243954,22.5609824,41.4204395,
303243955,22.5620630,41.4201038,
303243956,22.5630677,41.4201359,
303243957,22.5642337,41.4197083,
303243958,22.5649665,41.4199420,
303243959,22.5657639,41.4202922,
303243960,22.5674971,41.4204774,
303243961,22.5674509,41.4190693,
303243962,22.5680964,41.4181616,
303243963,22.5702611,41.4170796,
303243964,22.5720552,41.4154646,
303243965,22.5713622,41.4144865,
303243966,22.5699055,41.4143296,
303243967,22.5676941,41.4160118,
303243968,22.5657108,41.4150590,
303243969,22.5644416,41.4145770,
303243970,22.5632485,41.4138995,
303243971,22.5625926,41.4130570,
303243972,22.5644653,41.4087295,
303243973,22.5626146,41.4113025,
303243974,22.5619330,41.4118545,
303243975,22.5602917,41.4142881,
303243976,22.5574510,41.4126374,
303243977,22.5567349,41.4120364,
303243979,22.5575070,41.4142446,
303243980,22.5564618,41.4142761,
303243981,22.5517386,41.4153296,
303243982,22.5490508,41.4167852,
303243983,22.5480466,41.4172716,
303243984,22.5464400,41.4179081,
303243985,22.5437463,41.4193809,
303243986,22.5433328,41.4211852,
303243987,22.5434836,41.4225563,
307380534,22.7594152,41.1821414,
307380535,22.7594890,41.1821918,
364988018,21.3146809,41.9860010,
364988019,21.3145829,41.9866000,
364988020,21.3140669,41.9868388,
364988022,21.3134364,41.9866709,
364988023,21.3126639,41.9858096,
364988025,21.3123206,41.9845336,
364988027,21.3117627,41.9835766,
364988032,21.3109902,41.9827791,
364988033,21.3105182,41.9822687,
364988035,21.3104323,41.9818859,
364988037,21.3105611,41.9814073,
364988038,21.3109044,41.9811840,
364988040,21.3115052,41.9809607,
364988041,21.3123635,41.9808650,
364988043,21.3135222,41.9810564,
364988044,21.3143376,41.9816307,
364988046,21.3145951,41.9824601,
364988047,21.3145093,41.9830343,
364988048,21.3141230,41.9836085,
364988050,21.3137797,41.9842465,
364988051,21.3138226,41.9847569,
364988053,21.3142518,41.9853630,
364988054,21.3145433,41.9857784,
371846551,21.6421566,42.0314024,
371846552,21.6425686,42.0310071,
371846553,21.6423111,42.0306246,
371846554,21.6432295,42.0297129,
371846556,21.6429119,42.0293750,
371846557,21.6435128,42.0283103,
371846558,21.6433411,42.0281190,
371846560,21.6437016,42.0275452,
371846562,21.6464653,42.0286737,
371846563,21.6458903,42.0293304,
371846564,21.6450749,42.0295662,
371846567,21.6448174,42.0296172,
371846568,21.6441307,42.0302675,
371846571,21.6437702,42.0303951,
371846573,21.6431179,42.0310326,
371846574,21.6428433,42.0312111,
381164785,22.0379252,41.3923581,
381164790,22.0368781,41.3922035,
381164793,22.0367064,41.3919588,
381164796,22.0371098,41.3916369,
381164800,22.0376677,41.3914308,
381164821,22.0384230,41.3915210,
381164826,22.0385432,41.3916884,
416017092,21.1928184,41.8775453,
418223066,22.5801444,41.9765770,
418223067,22.5804886,41.9737883,
418223068,22.5803964,41.9735724,
418223069,22.5826979,41.9731313,
418223071,22.5867802,41.9762061,
418223072,22.5834274,41.9780366,
418223073,22.5840980,41.9789060,
418223074,22.5846827,41.9792529,
421416311,22.8989207,41.6758078,
421416312,22.8987320,41.6756013,
432436485,22.5855142,41.9739568,
432436486,22.5861204,41.9751533,
432436487,22.5861096,41.9752570,
432436488,22.5854176,41.9738930,
432436489,22.5850046,41.9733985,
432436490,22.5848007,41.9774265,
432436491,22.5858521,41.9769838,
432436492,22.5862008,41.9767086,
432436493,22.5832933,41.9780964,
432436494,22.5832397,41.9783317,
432436495,22.5845057,41.9795002,
432436496,22.5845808,41.9802658,
432436497,22.5848436,41.9806646,
432436498,22.5850207,41.9813305,
432436499,22.5862437,41.9816137,
432436500,22.5856751,41.9770596,
432436501,22.5805628,41.9739409,
